gpu_id,gpu_name,gpu_usage,gpu_free_memory,gpu_used_memory,gpu_total_memory,gpu_temperature,gpu_uuid,cpu_usage,ram_total,ram_available,ram_used,memory_usage,datetime
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,7.5%,15.44GB,4.36GB,9.04GB,71.8%,2022-04-07 15:29:26.570382
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,7.7%,15.44GB,4.34GB,9.04GB,71.9%,2022-04-07 15:29:58.319772
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.34GB,9.04GB,71.9%,2022-04-07 15:30:30.060100
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,10.8%,15.44GB,4.28GB,9.08GB,72.3%,2022-04-07 15:31:01.808794
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,16.6%,15.44GB,4.22GB,9.14GB,72.7%,2022-04-07 15:31:33.550909
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,13.8%,15.44GB,4.21GB,9.14GB,72.7%,2022-04-07 15:32:05.294328
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,12.2%,15.44GB,4.17GB,9.18GB,73.0%,2022-04-07 15:32:37.043778
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.08GB,9.23GB,73.5%,2022-04-07 15:33:08.777539
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.21GB,9.14GB,72.8%,2022-04-07 15:33:40.530131
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.27GB,9.10GB,72.4%,2022-04-07 15:34:12.274544
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,8.2%,15.44GB,4.29GB,9.10GB,72.2%,2022-04-07 15:34:44.013562
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,16.4%,15.44GB,4.11GB,9.18GB,73.4%,2022-04-07 15:35:15.742889
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,13.8%,15.44GB,4.07GB,9.23GB,73.7%,2022-04-07 15:35:47.474099
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,52.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,9.3%,15.44GB,4.12GB,9.23GB,73.3%,2022-04-07 15:36:19.213269
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,9.4%,15.44GB,4.16GB,9.20GB,73.0%,2022-04-07 15:36:50.955100
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,51.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,100.0%,15.44GB,4.19GB,9.20GB,72.9%,2022-04-07 15:37:22.715070
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,53.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.21GB,9.18GB,72.8%,2022-04-07 15:37:54.445292
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,10.4%,15.44GB,4.46GB,8.91GB,71.1%,2022-04-07 15:38:26.196491
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,20.4%,15.44GB,4.07GB,9.26GB,73.6%,2022-04-07 15:38:57.951052
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,22.1%,15.44GB,4.01GB,9.31GB,74.0%,2022-04-07 15:39:29.712873
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.04GB,9.29GB,73.8%,2022-04-07 15:40:01.461446
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,40.0%,15.44GB,4.05GB,9.29GB,73.8%,2022-04-07 15:40:33.206869
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,55.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,15.1%,15.44GB,4.05GB,9.29GB,73.7%,2022-04-07 15:41:04.942371
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,25.0%,15.44GB,4.09GB,9.26GB,73.5%,2022-04-07 15:41:36.696425
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,58.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,0.0%,15.44GB,4.09GB,9.26GB,73.5%,2022-04-07 15:42:08.433671
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.9%,15.44GB,4.09GB,9.26GB,73.5%,2022-04-07 15:42:40.174320
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,54.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.6%,15.44GB,4.10GB,9.26GB,73.5%,2022-04-07 15:43:11.925194
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,56.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,14.5%,15.44GB,4.09GB,9.26GB,73.5%,2022-04-07 15:43:43.664778
0.0,Quadro T1000,0.0%,3901.0MB,10.0MB,4096.0MB,57.0 °C,GPU-2ed36c7e-fea2-01a9-2314-5efa95d5ce22,50.0%,15.44GB,4.07GB,9.29GB,73.6%,2022-04-07 15:44:15.408224
